"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Nov 02 16:59:10 GMT 2025","Sun Nov 02 16:59:19 GMT 2025","9574","tests","test_example","","","","test_register_user[chromium-Rohan Panchal-rohanpan@apple.com-password123]",""
"passed","Sun Nov 02 16:59:22 GMT 2025","Sun Nov 02 16:59:29 GMT 2025","7509","tests","test_example","","","","test_register_user[chromium-Diana Prince-dianaprince@apple.com-password131415]",""
"passed","Sun Nov 02 16:59:21 GMT 2025","Sun Nov 02 16:59:29 GMT 2025","7700","tests","test_example","","","","test_register_user[chromium-Bob Johnson-bobjohnson@apple.com-password789]",""
"passed","Sun Nov 02 16:59:10 GMT 2025","Sun Nov 02 16:59:11 GMT 2025","1561","tests","test_example","","","","test_log_api_response[chromium]",""
"passed","Sun Nov 02 16:59:16 GMT 2025","Sun Nov 02 16:59:25 GMT 2025","8638","tests","test_example","","","","test_register_user[chromium-Ethan Hunt-ethanhunt@apple.com-password161718]",""
"passed","Sun Nov 02 16:59:10 GMT 2025","Sun Nov 02 16:59:20 GMT 2025","9890","tests","test_example","","","","test_register_user[chromium-Alice Smith-alicesmith@apple.com-password456]",""
"passed","Sun Nov 02 16:59:12 GMT 2025","Sun Nov 02 16:59:16 GMT 2025","3993","tests","test_social_media","","","","test_like_and_notification[chromium]",""
"passed","Sun Nov 02 16:59:21 GMT 2025","Sun Nov 02 16:59:21 GMT 2025","386","tests","test_example","","","","test_mock_the_fruit_api[chromium]",""
"passed","Sun Nov 02 16:59:26 GMT 2025","Sun Nov 02 16:59:32 GMT 2025","5566","tests","test_example","","","","test_register_user[chromium-Fiona Gallagher-fionagallagher@apple.com-password181920]",""
"passed","Sun Nov 02 16:59:10 GMT 2025","Sun Nov 02 16:59:20 GMT 2025","10224","tests","test_example","","","","test_register_user[chromium-Charlie Brown-charliebrown@apple.com-password101112]",""
