"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Nov 02 17:23:28 GMT 2025","Sun Nov 02 17:23:38 GMT 2025","9862","tests","test_example","","","","test_register_user[chromium-Charlie Brown-charliebrown@apple.com-password101112]",""
"passed","Sun Nov 02 17:23:40 GMT 2025","Sun Nov 02 17:23:41 GMT 2025","495","tests","test_example","","","","test_mock_the_fruit_api[chromium]",""
"passed","Sun Nov 02 17:23:28 GMT 2025","Sun Nov 02 17:23:38 GMT 2025","9828","tests","test_example","","","","test_register_user[chromium-Alice Smith-alicesmith@apple.com-password456]",""
"passed","Sun Nov 02 17:23:28 GMT 2025","Sun Nov 02 17:23:39 GMT 2025","10757","tests","test_example","","","","test_register_user[chromium-Rohan Panchal-rohanpan@apple.com-password123]",""
"passed","Sun Nov 02 17:23:30 GMT 2025","Sun Nov 02 17:23:35 GMT 2025","4925","tests","test_social_media","","","","test_like_and_notification[chromium]",""
"passed","Sun Nov 02 17:23:45 GMT 2025","Sun Nov 02 17:23:52 GMT 2025","6321","tests","test_example","","","","test_register_user[chromium-Fiona Gallagher-fionagallagher@apple.com-password181920]",""
"passed","Sun Nov 02 17:23:28 GMT 2025","Sun Nov 02 17:23:30 GMT 2025","1731","tests","test_example","","","","test_log_api_response[chromium]",""
"passed","Sun Nov 02 17:23:40 GMT 2025","Sun Nov 02 17:23:48 GMT 2025","8153","tests","test_example","","","","test_register_user[chromium-Bob Johnson-bobjohnson@apple.com-password789]",""
"passed","Sun Nov 02 17:23:40 GMT 2025","Sun Nov 02 17:23:48 GMT 2025","8051","tests","test_example","","","","test_register_user[chromium-Diana Prince-dianaprince@apple.com-password131415]",""
"passed","Sun Nov 02 17:23:36 GMT 2025","Sun Nov 02 17:23:44 GMT 2025","8001","tests","test_example","","","","test_register_user[chromium-Ethan Hunt-ethanhunt@apple.com-password161718]",""
